"id","days","age","addon","park","ctx","x","f1","f2","f3"
"theme-park_10_A_0_0_RF_AF_SOF_progenstr","10","A","0","","progenstr","0","RF","AF","SOF"
"theme-park_10_A_PHP_0_RF_AF_SOF_progenstr","10","A","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_10_A_P_0_RF_AF_SOF_progenstr","10","A","P","","progenstr","0","RF","AF","SOF"
"theme-park_10_A_WPS_0_RF_AF_SOF_progenstr","10","A","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_10_C_0_0_RF_AF_SOF_progenstr","10","C","0","","progenstr","0","RF","AF","SOF"
"theme-park_10_C_PHP_0_RF_AF_SOF_progenstr","10","C","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_10_C_P_0_RF_AF_SOF_progenstr","10","C","P","","progenstr","0","RF","AF","SOF"
"theme-park_10_C_WPS_0_RF_AF_SOF_progenstr","10","C","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_1_A_0_0_RF_AF_SOF_progenstr_ak","1","A","0","ak","progenstr","0","RF","AF","SOF"
"theme-park_1_A_0_0_RF_AF_SOF_progenstr_ep","1","A","0","ep","progenstr","0","RF","AF","SOF"
"theme-park_1_A_0_0_RF_AF_SOF_progenstr_hs","1","A","0","hs","progenstr","0","RF","AF","SOF"
"theme-park_1_A_0_0_RF_AF_SOF_progenstr_mk","1","A","0","mk","progenstr","0","RF","AF","SOF"
"theme-park_1_A_PHP_0_RF_AF_SOF_progenstr","1","A","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_1_A_P_0_RF_AF_SOF_progenstr","1","A","P","","progenstr","0","RF","AF","SOF"
"theme-park_1_C_0_0_RF_AF_SOF_progenstr_ak","1","C","0","ak","progenstr","0","RF","AF","SOF"
"theme-park_1_C_0_0_RF_AF_SOF_progenstr_ep","1","C","0","ep","progenstr","0","RF","AF","SOF"
"theme-park_1_C_0_0_RF_AF_SOF_progenstr_hs","1","C","0","hs","progenstr","0","RF","AF","SOF"
"theme-park_1_C_0_0_RF_AF_SOF_progenstr_mk","1","C","0","mk","progenstr","0","RF","AF","SOF"
"theme-park_1_C_PHP_0_RF_AF_SOF_progenstr","1","C","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_1_C_P_0_RF_AF_SOF_progenstr","1","C","P","","progenstr","0","RF","AF","SOF"
"theme-park_2_A_0_0_RF_AF_SOF_progenstr","2","A","0","","progenstr","0","RF","AF","SOF"
"theme-park_2_A_PHP_0_RF_AF_SOF_progenstr","2","A","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_2_A_P_0_RF_AF_SOF_progenstr","2","A","P","","progenstr","0","RF","AF","SOF"
"theme-park_2_A_WPS_0_RF_AF_SOF_progenstr","2","A","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_2_C_0_0_RF_AF_SOF_progenstr","2","C","0","","progenstr","0","RF","AF","SOF"
"theme-park_2_C_PHP_0_RF_AF_SOF_progenstr","2","C","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_2_C_P_0_RF_AF_SOF_progenstr","2","C","P","","progenstr","0","RF","AF","SOF"
"theme-park_2_C_WPS_0_RF_AF_SOF_progenstr","2","C","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_3_A_0_0_RF_AF_SOF_progenstr","3","A","0","","progenstr","0","RF","AF","SOF"
"theme-park_3_A_PHP_0_RF_AF_SOF_progenstr","3","A","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_3_A_P_0_RF_AF_SOF_progenstr","3","A","P","","progenstr","0","RF","AF","SOF"
"theme-park_3_A_WPS_0_RF_AF_SOF_progenstr","3","A","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_3_C_0_0_RF_AF_SOF_progenstr","3","C","0","","progenstr","0","RF","AF","SOF"
"theme-park_3_C_PHP_0_RF_AF_SOF_progenstr","3","C","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_3_C_P_0_RF_AF_SOF_progenstr","3","C","P","","progenstr","0","RF","AF","SOF"
"theme-park_3_C_WPS_0_RF_AF_SOF_progenstr","3","C","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_4_A_0_0_RF_AF_SOF_progenstr","4","A","0","","progenstr","0","RF","AF","SOF"
"theme-park_4_A_PHP_0_RF_AF_SOF_progenstr","4","A","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_4_A_P_0_RF_AF_SOF_progenstr","4","A","P","","progenstr","0","RF","AF","SOF"
"theme-park_4_A_WPS_0_RF_AF_SOF_progenstr","4","A","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_4_C_0_0_RF_AF_SOF_progenstr","4","C","0","","progenstr","0","RF","AF","SOF"
"theme-park_4_C_PHP_0_RF_AF_SOF_progenstr","4","C","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_4_C_P_0_RF_AF_SOF_progenstr","4","C","P","","progenstr","0","RF","AF","SOF"
"theme-park_4_C_WPS_0_RF_AF_SOF_progenstr","4","C","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_5_A_0_0_RF_AF_SOF_progenstr","5","A","0","","progenstr","0","RF","AF","SOF"
"theme-park_5_A_PHP_0_RF_AF_SOF_progenstr","5","A","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_5_A_P_0_RF_AF_SOF_progenstr","5","A","P","","progenstr","0","RF","AF","SOF"
"theme-park_5_A_WPS_0_RF_AF_SOF_progenstr","5","A","WPS","","progenstr","0","RF","AF","SOF"
"theme-park_5_C_0_0_RF_AF_SOF_progenstr","5","C","0","","progenstr","0","RF","AF","SOF"
"theme-park_5_C_PHP_0_RF_AF_SOF_progenstr","5","C","PHP","","progenstr","0","RF","AF","SOF"
"theme-park_5_C_P_0_RF_AF_SOF_progenstr","5","C","P","","progenstr","0","RF","AF","SOF"
