"productKey","productType","addOn","numDays","discountGroupKey","url"
"theme-parks-with-park-hopper","theme-parks","park-hopper","1","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=1&addOn=park-hopper"
"theme-parks-with-park-hopper","theme-parks","park-hopper","2","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=2&addOn=park-hopper"
"theme-parks-with-park-hopper","theme-parks","park-hopper","3","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=3&addOn=park-hopper"
"theme-parks-with-park-hopper","theme-parks","park-hopper","4","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=4&addOn=park-hopper"
"theme-parks-with-park-hopper","theme-parks","park-hopper","5","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=5&addOn=park-hopper"
"theme-parks-with-park-hopper","theme-parks","park-hopper","6","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=6&addOn=park-hopper"
"theme-parks-with-park-hopper","theme-parks","park-hopper","7","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=7&addOn=park-hopper"
"theme-parks-with-park-hopper","theme-parks","park-hopper","8","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=8&addOn=park-hopper"
"theme-parks-with-park-hopper","theme-parks","park-hopper","9","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=9&addOn=park-hopper"
"theme-parks-with-park-hopper","theme-parks","park-hopper","10","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=10&addOn=park-hopper"
"theme-parks","theme-parks","","1","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=1"
"theme-parks","theme-parks","","2","STD_GST","https://disneyworld.disney.go.com/api/lexicon-view-assembler-service/wdw/tickets/product-types/theme-parks/prices?storeId=wdw&discountGroup=std-gst&startDate=2026-03-08&endDate=2026-07-06&numDays=2"
